Code,Description,Category,Active,Unit,Retail - Exclusive,Retail - Inclusive,Wholesale - Exclusive,Wholesale - Inclusive,Physical,Text User Field 1,Text User Field 2,Text User Field 3,Numeric User Field 1,Numeric User Field 2,Numeric User Field 3,Date User Field 1,Date User Field 2,Date User Field 3,Yes/No User Field 1,Yes/No User Field 2,Yes/No User Field 3,VAT Type Sales,VAT Type Purchases,Cost,Quantity,Sales Account,Purchases Account
MIIZU300HI-10-G,Dromex Mizu 300HI - Hi Viz Gloves Seamless - Wear Based PU and Nitirle Micro Foam Palm Coated Miizu,,True,1,15.3725,17.678375,14.78125,17.0,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
MIIZU300HI-11-G,Dromex Mizu 300HI - Hi Viz Gloves Seamless - Wear Based PU and Nitirle Micro Foam Palm Coated Miizu,,True,1,15.3725,17.678375,14.78125,17.0,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
MIIZULFM4001W-7-BLK,"Dromex Miizu 400 Thermal, Hi Viz, Winter, Seamless Y Hi-Viz Gloves - Latex Micto Palm",,True,1,44.33,50.9795,42.625,49.02,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
MIIZULFM4001W-8-BLK,"Dromex Miizu 400 Thermal, Hi Viz, Winter, Seamless Y Hi-Viz Gloves - Latex Micto Palm",,True,1,44.33,50.9795,42.625,49.02,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
MIIZULFM4001W-9-BLK,"Dromex Miizu 400 Thermal, Hi Viz, Winter, Seamless Y Hi-Viz Gloves - Latex Micto Palm",,True,1,44.33,50.9795,42.625,49.02,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
MIIZULFM4001W-10-BLK,"Dromex Miizu 400 Thermal, Hi Viz, Winter, Seamless Y Hi-Viz Gloves - Latex Micto Palm",,True,1,44.33,50.9795,42.625,49.02,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
PU5-7,Dromex Cut 4 Seamlesss Liner PU5,,True,1,27.43,31.5445,26.375,30.33,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
PU5-8,Dromex Cut 4 Seamlesss Liner PU5,,True,1,27.43,31.5445,26.375,30.33,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
PU5-9,Dromex Cut 4 Seamlesss Liner PU5,,True,1,27.43,31.5445,26.375,30.33,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
PU5-10,Dromex Cut 4 Seamlesss Liner PU5,,True,1,27.43,31.5445,26.375,30.33,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
