sku,retail_price,wholesale_price
13-1001360-3,546,546
13-1001360-4,546,546
13-10047911,102,102
13-10047911-2,102,102
13-10047911-3,102,102
13-10047911-4,102,102
13-10047911-5,102,102
13-10047901,102,102
13-10047901-2,102,102
13-10047901-3,102,102
13-10047901-4,102,102
13-10047901-5,102,102
13-10047901-6,102,102
13-1004788,157,157
13-1004788-2,157,157
13-1004788-3,157,157
13-1004788-4,157,157
13-1004788-5,157,157
13-1004787,157,157
13-1004787-2,157,157
13-1004787-3,157,157
13-1004787-4,157,157
13-1004787-5,157,157
13-10047851,147,147
13-10047851-2,147,147
13-10047851-3,147,147
13-10047851-4,147,147
13-10047851-5,147,147
13-10047851-6,147,147
13-1004779,147,147
13-1004779-2,147,147
13-1004779-3,147,147
13-1004779-4,147,147
13-1004779-5,147,147
13-1004779-6,147,147
13-1004769,147,147
13-1004769-2,147,147
13-1004769-3,147,147
13-1004769-4,147,147
13-1004769-5,147,147
13-1004769-6,147,147
13-10047651,127,127
13-10047651-2,127,127
13-10047651-3,127,127
13-10047651-4,127,127
13-10047651-5,127,127
13-10047651-6,127,127
13-1004759,127,127
13-1004759-2,127,127
13-1004759-3,127,127
13-1004759-4,127,127
13-1004759-5,127,127
13-1004759-6,127,127
13-1004750,127,127
13-1004750-2,127,127
13-1004750-3,127,127
13-1004750-4,127,127
13-1004750-5,127,127
13-1004750-6,127,127
13-1004749O1,378,378
13-1004749O1-2,378,378
13-1004749O1-3,378,378
13-1004749O1-4,378,378
13-1004749O1-5,378,378
13-1004749O1-6,378,378
13-1004749L1,378,378
13-1004749L1-2,378,378
13-1004749L1-3,378,378
13-1004749L1-4,378,378
13-1004749L1-5,378,378
13-1004749L1-6,378,378
